,rec_ind0,rec_ind1,rec_ind2,rec_ind3,sp_name,is_invasive
0,0,0,0,31,ex_0_DMSO_Control_S31,1
1,0,0,0,32,ex_0_DMSO_Control_S32,1
2,0,0,0,33,ex_0_DMSO_Control_S33,1
3,0,0,0,34,ex_0_DMSO_Control_S34,1
4,0,0,0,35,ex_0_DMSO_Control_S35,0
5,0,0,0,36,ex_0_DMSO_Control_S36,1
6,0,0,0,37,ex_0_DMSO_Control_S37,1
7,0,0,0,38,ex_0_DMSO_Control_S38,1
8,0,0,0,39,ex_0_DMSO_Control_S39,1
9,0,0,0,40,ex_0_DMSO_Control_S40,0
10,0,2,0,51,ex_0_Dinac_10uM_S51,0
11,0,2,0,52,ex_0_Dinac_10uM_S52,0
12,0,2,0,53,ex_0_Dinac_10uM_S53,0
13,0,2,0,54,ex_0_Dinac_10uM_S54,0
14,0,2,0,55,ex_0_Dinac_10uM_S55,0
15,0,2,0,57,ex_0_Dinac_10uM_S57,0
16,0,2,0,58,ex_0_Dinac_10uM_S58,0
17,0,2,0,59,ex_0_Dinac_10uM_S59,0
18,0,2,0,60,ex_0_Dinac_10uM_S60,0
19,0,4,0,41,ex_0_TMZ_10uM_S41,0
20,0,4,0,42,ex_0_TMZ_10uM_S42,1
21,0,4,0,43,ex_0_TMZ_10uM_S43,0
22,0,4,0,44,ex_0_TMZ_10uM_S44,1
23,0,4,0,46,ex_0_TMZ_10uM_S46,0
24,0,4,0,47,ex_0_TMZ_10uM_S47,1
25,0,4,0,50,ex_0_TMZ_10uM_S50,1
26,1,0,1,1,ex_1_Fibrin_Ctl_1,1
27,1,0,1,2,ex_1_Fibrin_Ctl_2,1
28,1,0,1,3,ex_1_Fibrin_Ctl_3,1
29,1,0,1,4,ex_1_Fibrin_Ctl_4,1
30,1,0,1,5,ex_1_Fibrin_Ctl_5,1
31,1,0,1,6,ex_1_Fibrin_Ctl_6,1
32,1,0,1,7,ex_1_Fibrin_Ctl_7,1
33,1,0,2,1,ex_1_Matrigel_Ctl_1,0
34,1,0,2,2,ex_1_Matrigel_Ctl_2,0
35,1,0,2,3,ex_1_Matrigel_Ctl_3,0
36,1,0,2,4,ex_1_Matrigel_Ctl_4,0
37,1,0,2,6,ex_1_Matrigel_Ctl_6,0
38,1,1,1,2,ex_1_Fibrin_1uM_Dinac_2,0
39,1,1,1,3,ex_1_Fibrin_1uM_Dinac_3,0
40,1,1,1,4,ex_1_Fibrin_1uM_Dinac_4,0
41,1,1,1,5,ex_1_Fibrin_1uM_Dinac_5,0
42,1,1,1,6,ex_1_Fibrin_1uM_Dinac_6,0
43,1,1,1,7,ex_1_Fibrin_1uM_Dinac_7,0
44,1,3,1,2,ex_1_Fibrin_1uM_TMZ_2,1
45,1,3,1,3,ex_1_Fibrin_1uM_TMZ_3,1
46,1,3,1,4,ex_1_Fibrin_1uM_TMZ_4,1
47,1,3,1,5,ex_1_Fibrin_1uM_TMZ_5,1
48,1,3,1,6,ex_1_Fibrin_1uM_TMZ_6,1
49,1,3,1,7,ex_1_Fibrin_1uM_TMZ_7,1
50,2,0,3,1,ex_2_GBM39_Control_1,1
51,2,0,3,2,ex_2_GBM39_Control_2,1
52,2,0,3,3,ex_2_GBM39_Control_3,1
53,2,0,3,4,ex_2_GBM39_Control_4,1
54,2,0,3,6,ex_2_GBM39_Control_6,1
55,2,0,3,7,ex_2_GBM39_Control_7,1
