,rec_ind0,rec_ind1,rec_ind2,rec_ind3,sp_name,is_invasive
0,1,0,1,1,ex_1_Fibrin_Ctl_1,1
1,1,0,1,2,ex_1_Fibrin_Ctl_2,1
2,1,0,1,3,ex_1_Fibrin_Ctl_3,1
3,1,0,1,4,ex_1_Fibrin_Ctl_4,1
4,1,0,1,5,ex_1_Fibrin_Ctl_5,1
5,1,0,1,6,ex_1_Fibrin_Ctl_6,1
6,1,0,1,7,ex_1_Fibrin_Ctl_7,1
7,1,0,2,1,ex_1_Matrigel_Ctl_1,0
8,1,0,2,2,ex_1_Matrigel_Ctl_2,0
9,1,0,2,3,ex_1_Matrigel_Ctl_3,0
10,1,0,2,4,ex_1_Matrigel_Ctl_4,0
11,1,0,2,6,ex_1_Matrigel_Ctl_6,0
12,1,1,1,2,ex_1_Fibrin_1uM_Dinac_2,0
13,1,1,1,3,ex_1_Fibrin_1uM_Dinac_3,0
14,1,1,1,4,ex_1_Fibrin_1uM_Dinac_4,0
15,1,1,1,5,ex_1_Fibrin_1uM_Dinac_5,0
16,1,1,1,6,ex_1_Fibrin_1uM_Dinac_6,0
17,1,1,1,7,ex_1_Fibrin_1uM_Dinac_7,0
18,1,3,1,2,ex_1_Fibrin_1uM_TMZ_2,1
19,1,3,1,3,ex_1_Fibrin_1uM_TMZ_3,1
20,1,3,1,4,ex_1_Fibrin_1uM_TMZ_4,1
21,1,3,1,5,ex_1_Fibrin_1uM_TMZ_5,1
22,1,3,1,6,ex_1_Fibrin_1uM_TMZ_6,1
23,1,3,1,7,ex_1_Fibrin_1uM_TMZ_7,1
