,UMAP1,UMAP2
0,-7.848625,-16.092653
1,-7.727901,-16.119377
2,-8.269914,-16.098057
3,-8.199637,-16.193096
4,-8.096749,-16.221256
5,-8.11607,-16.01442
6,-8.03139,-16.118057
7,-8.036826,-16.156782
8,-7.998352,-16.106594
9,-7.962895,-16.191746
10,-7.9917026,-16.100328
11,-7.892138,-16.186487
12,-7.8410788,-16.140015
13,-7.9378424,-16.284397
14,-7.848853,-16.1924
15,-7.9631534,-16.201546
16,-7.906728,-16.239998
17,-7.8977757,-16.264542
18,-7.880364,-16.225866
19,-7.924147,-16.207062
20,-7.885775,-16.20436
21,-7.998864,-16.254934
22,-7.885317,-16.301277
23,-7.784947,-16.25873
24,-7.7805486,-16.417004
25,-7.813368,-16.306665
26,-7.828158,-16.33407
27,-7.362235,-16.36108
28,-7.3534565,-16.392237
29,-7.696492,-16.275095
30,-7.384664,-16.432137
31,-7.4179974,-16.374174
32,-7.401634,-16.353273
33,-7.3925357,-16.42881
34,-7.3365374,-16.477648
35,-7.311258,-16.455868
36,-7.335678,-16.436787
37,-7.3842587,-16.377682
38,-7.392343,-16.306814
39,-7.4785,-16.31698
40,-7.488795,-16.262909
41,-7.487199,-16.230047
42,-7.5617294,-16.269325
43,-7.6043034,-16.260183
44,-7.5231547,-16.170303
45,-7.575414,-16.161528
46,-7.582657,-16.161297
47,-7.610182,-16.093077
48,-7.4701633,-15.927418
49,-7.44032,-15.988977
50,-7.44796,-16.011253
51,-7.3379025,-15.912625
52,-7.405063,-15.949658
53,-7.469685,-15.947439
54,-7.460278,-15.981204
55,-7.548663,-15.906889
56,-7.42359,-15.930501
57,-7.3969793,-15.851714
58,-7.470506,-15.797679
59,-7.4423494,-15.717112
60,-7.381739,-15.764584
61,-7.498846,-15.772561
62,-7.4775314,-15.801395
63,-7.397216,-15.807909
64,-7.5465603,-15.596142
65,-7.5702696,-15.646078
66,-7.541404,-15.589812
67,-7.597086,-15.603312
68,-7.6422787,-15.716983
69,-7.6200385,-15.622481
70,-7.5545573,-15.590611
71,-7.5243397,-15.800026
72,-7.5490365,-15.860343
73,-7.56401,-15.613016
74,-7.646656,-15.57571
75,-7.7297573,-15.660415
76,-7.652052,-15.624686
77,-7.7835965,-15.887868
