features,score
filled_area,0.011436626086260001
major_axis_len,0.012473621420626965
minor_axis_len,0.010964539469192633
perimeter,0.02579450028218811
convex_area,0.01754502172708822
eccentricity,0.0016839776271229917
extend,0.022373908631514755
solidity,0.037059803448886916
circularities,0.037450265020668574
aspect_ratio,0.0024054691247269644
orientation,0.0025807028101400495
inten_mean,0.0032652117800029724
inten_std,0.011014036324783254
power_norm,0.030011734327674754
PCA000,0.010624220013049981
PCA001,0.0027987303881776447
PCA002,0.0031852066444059335
PCA003,0.003153571169714194
PCA004,0.0028551319473937805
PCA005,0.0021330002911906423
PCA006,0.0016015937964520735
PCA007,0.003408922737259053
PCA008,0.0028698800578386826
PCA009,0.003212264628543342
PCA010,0.0026020812195372217
PCA011,0.0029037617744673535
PCA012,0.00214448843799956
PCA013,0.002436681709430124
PCA014,0.0019667029492101244
PCA015,0.0021037955771455214
PCA016,0.003050185320698661
PCA017,0.0036157768662997128
PCA018,0.0023205617536283234
PCA019,0.0034315160593300486
PCA020,0.0028091164148631668
PCA021,0.0019011954053064358
PCA022,0.00269055559372495
PCA023,0.003030400389353469
PCA024,0.0023398917826227272
PCA025,0.0027994793635543655
PCA026,0.0021975443552979673
PCA027,0.002477555343068316
PCA028,0.00290243181082581
PCA029,0.003382024970519967
PCA030,0.002620507919390912
PCA031,0.002337954294863364
PCA032,0.0028447664103135642
PCA033,0.0026447556601043153
PCA034,0.0030042396207291475
PCA035,0.002676609174494944
PCA036,0.002986202056896315
PCA037,0.0030294870876852852
PCA038,0.0028894331072078713
PCA039,0.002928690233702879
PCA040,0.003028871132820998
PCA041,0.0028678816879260717
PCA042,0.0030475596053522974
PCA043,0.002971764830547215
PCA044,0.0029138167501273743
PCA045,0.0033340211267778776
PCA046,0.0026443744064916196
PCA047,0.002765993215554371
PCA048,0.0030268014380765624
PCA049,0.0032289933962237898
PCA050,0.0031602615787709462
PCA051,0.0028188737831451424
PCA052,0.0038711349058383015
PCA053,0.003617334040999409
PCA054,0.0030044006290720553
PCA055,0.0027372637420906482
PCA056,0.0026007879498785185
PCA057,0.0028872211836578295
PCA058,0.003084960934689537
PCA059,0.0029877318121456892
PCA060,0.003309331501156778
PCA061,0.00302838030224112
PCA062,0.003234826689578087
PCA063,0.0031271840298654563
PCA064,0.0027417805416036236
PCA065,0.0025220353124453163
PCA066,0.003417639484067371
PCA067,0.0027569272656534005
PCA068,0.003052750156931147
PCA069,0.002932009608930048
PCA070,0.003054270623697204
PCA071,0.0034996175006656804
PCA072,0.0025510194271740777
PCA073,0.00333342835386734
PCA074,0.0036471490529553638
PCA075,0.0030559768060357227
PCA076,0.0033930150594117863
PCA077,0.0033496292661115796
PCA078,0.0028529985767515626
PCA079,0.0030966426666790923
PCA080,0.00329855756137419
PCA081,0.002822907673117357
PCA082,0.0032750911164838923
PCA083,0.0028367737940105855
PCA084,0.002875633674517814
PCA085,0.0034403283651035597
PCA086,0.0028622247822155
PCA087,0.0029549733199986912
PCA088,0.002865262831142728
PCA089,0.00335646760463944
PCA090,0.0032896717425010425
PCA091,0.0031881073070716692
PCA092,0.003185376234838062
PCA093,0.0034275096335804746
PCA094,0.003102130726207451
PCA095,0.0029743202304078177
PCA096,0.003247327209252213
PCA097,0.003213564355046539
PCA098,0.0034383214027093848
PCA099,0.0033129358573075786
PCA100,0.0029722740648444115
PCA101,0.003282802162254723
PCA102,0.00330986978925287
PCA103,0.003149882205186433
PCA104,0.003509938934216443
PCA105,0.002672452346242398
PCA106,0.0030287323050176705
PCA107,0.003279433015476016
PCA108,0.0030865957139495984
PCA109,0.0033191826710725586
PCA110,0.0028947354894254753
PCA111,0.002992559603791919
PCA112,0.0033498063688176547
PCA113,0.0032362163112357447
PCA114,0.0033670106485209203
PCA115,0.0029437524650562
PCA116,0.003253629185364876
PCA117,0.003071455885575465
PCA118,0.002988253360080591
PCA119,0.003068253534043251
PCA120,0.0029433431364007693
PCA121,0.0033979291780456334
PCA122,0.003199257345911755
PCA123,0.003272037270643606
PCA124,0.0031378853507888537
PCA125,0.003201224946372565
PCA126,0.0030231714576257466
PCA127,0.0032557092677299804
PCA128,0.0032159789843057085
PCA129,0.003236481913897881
PCA130,0.0033178649456474672
PCA131,0.003098092303684466
PCA132,0.0033737563441666256
PCA133,0.003384755212405503
PCA134,0.002799271192377715
PCA135,0.003190892287582378
PCA136,0.002960537588198194
PCA137,0.002947659293585337
PCA138,0.003483744006203842
PCA139,0.0031208117301453515
PCA140,0.0029438002028201655
PCA141,0.0031993217938621316
PCA142,0.0031799262181424937
PCA143,0.0031758806342182732
PCA144,0.0035971416279269998
PCA145,0.003059720718318869
PCA146,0.003229523017439123
PCA147,0.0032357313779714054
PCA148,0.003410779609988233
PCA149,0.003132618594225283
PCA150,0.0033723263579016572
PCA151,0.003080405120565144
PCA152,0.0031142171187940266
PCA153,0.0031051049897436057
PCA154,0.003207618677290068
PCA155,0.003178402190217571
PCA156,0.0032623795896033793
PCA157,0.0031290790238730545
PCA158,0.0029332852698205213
PCA159,0.0029007735517635404
PCA160,0.0034604240945154342
PCA161,0.0030832507764412117
PCA162,0.003148748811744606
PCA163,0.003110191213386286
PCA164,0.0029055874020437558
PCA165,0.0025644132255022863
PCA166,0.003178346363567262
PCA167,0.003256018072549521
PCA168,0.0033269095869781144
PCA169,0.0032363671837849733
PCA170,0.003234993735538145
PCA171,0.003244826190241271
PCA172,0.0032828612741843256
PCA173,0.003017662365129806
PCA174,0.003127691442283372
PCA175,0.0032592802842307876
PCA176,0.003606403502583679
PCA177,0.0032506213471690856
PCA178,0.003389225880052807
PCA179,0.003339892062006653
PCA180,0.003185025909849952
PCA181,0.00333333812253725
PCA182,0.003210428991457232
PCA183,0.003087414217916785
PCA184,0.0033526973765580607
PCA185,0.003089656603271442
PCA186,0.0031193424771820046
PCA187,0.0029977517452696944
PCA188,0.0030575955556038704
PCA189,0.0032825750770135572
PCA190,0.0031836374406844993
PCA191,0.00319204386407184
PCA192,0.0032722772659722022
PCA193,0.0031565071312855343
PCA194,0.003325986804484596
PCA195,0.003225114317102838
PCA196,0.0029926290209814806
PCA197,0.003045728539284402
PCA198,0.0031022742381339873
PCA199,0.003367348711609961
power001,0.012223835537578168
power002,0.011246943430873003
power003,0.010696443875596682
power004,0.012741186350874158
power005,0.011418230839001826
power006,0.010306034727728055
power007,0.012815496753521508
power008,0.01192263438010121
power009,0.01308240881733318
power010,0.012639990317768027
power011,0.012155265697645763
power012,0.013416291934760335
power013,0.012462781655504152
power014,0.013056501593896904
power015,0.014257796103557076
power016,0.014285900814335359
power017,0.015497097055281763
power018,0.015788248906310406
power019,0.014823090609055692
power020,0.015972518879572867
power021,0.014464750736126884
power022,0.014838503025620002
power023,0.014234105341301826
power024,0.014347642750773564
power025,0.01455542328527636
power026,0.0139689217344513
power027,0.015026933767960781
power028,0.013273516739453973
power029,0.014102018583668762
power030,0.013681046523816187
power031,0.014102177668936306
power032,0.013762418005591175
power033,0.014699812982700445
power034,0.01340396485423002
power035,0.013251176337647812
power036,0.013217036475700328
power037,0.012141369091307891
power038,0.013245892929818929
power039,0.012923736710369636
power040,0.013006956297971614
power041,0.013023987498917807
power042,0.012630210742879925
power043,0.01265274947201285
power044,0.012709906634222362
power045,0.012990358529018826
power046,0.01256461173108495
power047,0.012570729404082574
power048,0.012071989786965795
power049,0.011510840972860602
power050,0.011827936273361888
power051,0.01148872208597229
power052,0.011606431165135326
power053,0.011250061080564885
power054,0.01079684405355186
power055,0.010335563525658738
power056,0.01196501600864795
power057,0.010358608668130202
power058,0.011923536334825522
power059,0.010879320658946293
power060,0.010600876847834992
power061,0.011397298510018514
power062,0.01075493237604002
power063,0.010358243762679045
power064,0.009921166601715128
power065,0.01002855770814343
power066,0.010177448773040871
power067,0.0099684986670545
power068,0.010404306414173246
power069,0.010733484223736253
power070,0.010562233507397658
power071,0.009813196412623695
power072,0.009521859095322036
power073,0.009998144513468614
power074,0.010505811869717364
power075,0.010022246370604079
power076,0.010386483966718289
power077,0.009595390281390764
power078,0.010424038706553677
power079,0.009573901506638961
power080,0.009430128966397545
power081,0.009782144480664032
power082,0.009272655307897169
power083,0.009140351589329741
power084,0.009625082868659287
power085,0.009905883043595829
power086,0.009380256713190508
power087,0.009353943592429298
power088,0.008614555419510748
power089,0.009930285582921803
power090,0.008860602407496965
power091,0.008186068398042924
power092,0.009214057981569414
power093,0.008356015758768614
power094,0.00845225401915083
power095,0.008430186672690016
power096,0.00842177791494625
power097,0.008232951888961946
power098,0.007884073963135564
power099,0.008709346505867157
power100,0.007972888121498928
