,UMAP1,UMAP2
0,2.334487,-4.2975264
1,2.4887326,-4.4306626
2,2.6331718,-5.1631594
3,3.525055,-5.3145223
4,3.6980066,-5.40896
5,3.811599,-5.4877
6,3.7868223,-5.4779263
7,3.8167207,-5.505114
8,3.809311,-5.4953737
9,3.87126,-5.546771
10,3.84196,-5.5161266
11,3.8522165,-5.5271573
12,3.8506258,-5.5403266
13,3.8060799,-5.5107617
14,3.732213,-5.460828
15,3.6942973,-5.438704
16,3.5706303,-5.2583
17,3.8552794,-5.512673
18,3.874239,-5.531311
19,3.6652977,-5.2478185
20,3.8671346,-5.549946
21,3.8701298,-5.533966
22,3.899259,-5.145132
23,3.851334,-5.1105843
24,3.8861928,-5.035193
25,3.7986772,-5.4149404
26,3.706568,-5.33156
27,1.5395223,-4.5004225
28,1.5266066,-4.427896
29,3.5164077,-5.313079
30,1.5859321,-4.6421595
31,1.5535957,-4.6847205
32,1.5577486,-4.6530294
33,1.5978473,-4.713452
34,1.4998763,-4.6720934
35,1.2938191,-4.4822536
36,0.09811059,-3.6088448
37,-0.06113727,-3.4329286
38,0.03792266,-3.5521727
39,1.5823827,-4.6847043
40,1.6383396,-4.7645817
41,1.6180474,-4.7151675
42,2.0727336,-5.0348244
43,2.562243,-5.2208366
44,2.716577,-5.3066893
45,2.8335786,-5.3325415
46,2.8361106,-5.4034867
47,2.8167887,-5.3924685
48,2.8143322,-5.2973475
49,2.5943482,-5.442937
50,2.6062555,-5.4532433
51,2.6542697,-5.453673
52,2.6295376,-5.45153
53,2.6523018,-5.4471993
54,2.7277377,-5.444627
55,2.6016614,-5.4864225
56,2.5899804,-5.5309854
57,2.6051562,-5.4830413
58,2.6191728,-5.617684
59,2.651751,-5.641807
60,2.6614761,-5.602072
61,2.6054485,-5.6391897
62,2.6274967,-5.6294837
63,2.6380975,-5.6312513
64,2.6351588,-5.60816
65,2.6205227,-5.5962796
66,2.6220465,-5.609468
67,2.6267269,-5.64279
68,2.6136906,-5.6206193
69,2.6305423,-5.621796
70,2.599133,-5.6319795
71,2.6087914,-5.663756
72,2.7119045,-5.5979023
73,2.7560036,-5.5037
74,2.9167767,-5.2869616
75,2.8480446,-5.3959265
76,2.699274,-5.575737
77,3.2449574,-5.4540644
78,3.3374536,-5.41086
79,3.3380024,-5.453901
80,3.3094833,-5.427671
81,3.370759,-5.3959436
82,3.3885763,-5.419229
83,3.3632855,-5.4249306
84,3.3351219,-5.434229
85,1.767666,-3.8933506
86,1.9184959,-4.057312
87,1.891932,-4.1341124
88,1.8808092,-4.0575247
89,2.1936443,-4.172787
90,2.290351,-4.2344947
91,2.6929648,-4.371055
92,2.6050043,-4.3154535
93,2.6802447,-4.365479
94,2.6657555,-4.4346805
95,2.728404,-4.4041476
96,2.8260527,-4.654157
97,2.8700037,-4.764562
98,2.912049,-4.7682467
99,3.0660756,-5.0333686
100,3.0757904,-5.0630956
101,2.777347,-4.472354
102,2.760982,-4.460317
103,2.8122895,-4.4044566
104,2.4444373,-4.277005
105,1.1309841,-3.0572295
106,1.2862352,-2.9258847
107,1.2444146,-3.0074186
108,1.3319161,-3.0961297
109,0.49066356,-2.1378543
110,0.48072073,-2.2381172
111,0.5012492,-2.5482707
112,0.3433437,-2.4946487
113,0.48872983,-2.70467
114,0.38000992,-2.5710058
115,0.3215299,-2.6232767
116,0.28154168,-2.6703658
117,0.40731832,-2.741563
118,0.19133374,-2.654783
119,0.16175805,-2.6919575
120,0.12235863,-2.667172
121,-0.010046721,-2.5062766
122,-0.3218633,-2.3325317
123,-0.5548109,-2.0208673
124,-0.059676327,-2.4062877
125,-0.25218824,-2.2896256
126,-0.27862108,-2.2900379
127,-0.18540339,-2.3742902
